Format Version,1.23,Take Name,mono3d_angle_t2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-09-28 04.06.01.934 PM,Total Frames in Take,3305,Total Exported Frames,3305,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.022856,-0.051757,-0.010922,-0.998338,-0.720327,0.177804,0.067351,0.000568,-0.675208,0.217164,0.091207,0.907436,-0.692357,0.193278,0.033578,0.961284,-0.747568,0.190438,-0.003136,0.892772,-0.767454,0.216087,0.092294,0.887468,-0.673808,0.126845,0.094872,0.592755,-0.765570,0.123011,0.095289,0.846354,-0.675553,0.217283,0.091228,-0.692453,0.193308,0.033488,-0.747571,0.190866,-0.003109,-0.767698,0.216247,0.091926,-0.673429,0.125257,0.095065,-0.765129,0.123306,0.095574,,,
7,0.070000,0.022653,-0.051700,-0.010983,-0.998345,-0.720319,0.177764,0.067345,0.000574,-0.675206,0.217119,0.091223,0.908755,-0.692346,0.193255,0.033582,0.966131,-0.747553,0.190425,-0.003139,0.892698,-0.767452,0.216032,0.092299,0.882624,-0.673797,0.126798,0.094851,0.589203,-0.765559,0.122954,0.095256,0.849312,-0.675560,0.217246,0.091210,-0.692450,0.193316,0.033496,-0.747565,0.190878,-0.003113,-0.767636,0.216138,0.091900,-0.673443,0.125264,0.095119,-0.765141,0.123233,0.095550,,,
8,0.080000,0.022837,-0.051804,-0.010897,-0.998337,-0.720321,0.177791,0.067350,0.000568,-0.675197,0.217148,0.091203,0.905857,-0.692352,0.193264,0.033575,0.962843,-0.747567,0.190429,-0.003134,0.886451,-0.767443,0.216076,0.092298,0.886893,-0.673802,0.126828,0.094865,0.600705,-0.765564,0.122999,0.095290,0.854463,-0.675537,0.217254,0.091224,-0.692450,0.193306,0.033492,-0.747576,0.190854,-0.003117,-0.767688,0.216240,0.091929,-0.673419,0.125230,0.095064,-0.765121,0.123293,0.095576,,,
9,0.090000,0.022832,-0.051762,-0.010920,-0.998339,-0.720317,0.177773,0.067347,0.000587,-0.675197,0.217132,0.091205,0.910870,-0.692346,0.193249,0.033575,0.966444,-0.747558,0.190411,-0.003139,0.893715,-0.767443,0.216056,0.092293,0.881795,-0.673797,0.126812,0.094866,0.586346,-0.765560,0.122979,0.095283,0.848961,-0.675560,0.217247,0.091211,-0.692451,0.193310,0.033487,-0.747572,0.190848,-0.003120,-0.767627,0.216139,0.091906,-0.673441,0.125245,0.095117,-0.765126,0.123313,0.095569,,,
10,0.100000,0.022831,-0.051776,-0.010828,-0.998339,-0.720324,0.177797,0.067349,0.000563,-0.675197,0.217148,0.091205,0.904722,-0.692352,0.193267,0.033576,0.962468,-0.747565,0.190439,-0.003137,0.890643,-0.767443,0.216088,0.092295,0.890847,-0.673814,0.126827,0.094867,0.593362,-0.765577,0.123011,0.095286,0.845735,-0.675544,0.217258,0.091227,-0.692450,0.193303,0.033486,-0.747574,0.190866,-0.003115,-0.767687,0.216244,0.091923,-0.673432,0.125277,0.095070,-0.765131,0.123311,0.095572,,,
11,0.110000,0.022705,-0.051733,-0.011058,-0.998342,-0.720315,0.177767,0.067343,0.000572,-0.675207,0.217132,0.091213,0.908742,-0.692347,0.193259,0.033576,0.965497,-0.747556,0.190417,-0.003141,0.893167,-0.767452,0.216031,0.092296,0.882146,-0.673783,0.126811,0.094850,0.597598,-0.765545,0.122953,0.095262,0.847957,-0.675544,0.217273,0.091209,-0.692453,0.193323,0.033493,-0.747577,0.190854,-0.003112,-0.767629,0.216143,0.091898,-0.673441,0.125262,0.095118,-0.765130,0.123225,0.095540,,,
12,0.120000,0.022859,-0.051775,-0.010907,-0.998338,-0.720326,0.177795,0.067348,0.000564,-0.675204,0.217155,0.091203,0.908444,-0.692355,0.193268,0.033575,0.962613,-0.747568,0.190430,-0.003138,0.890203,-0.767450,0.216081,0.092293,0.887512,-0.673807,0.126835,0.094868,0.597689,-0.765569,0.123004,0.095288,0.857847,-0.675554,0.217261,0.091218,-0.692448,0.193310,0.033490,-0.747576,0.190851,-0.003119,-0.767693,0.216244,0.091930,-0.673418,0.125255,0.095068,-0.765130,0.123300,0.095571,,,
13,0.130000,0.022743,-0.051780,-0.010941,-0.998340,-0.720318,0.177771,0.067339,0.000571,-0.675199,0.217127,0.091202,0.906120,-0.692349,0.193253,0.033569,0.965263,-0.747562,0.190421,-0.003144,0.892685,-0.767444,0.216048,0.092293,0.888286,-0.673796,0.126807,0.094846,0.596500,-0.765558,0.122970,0.095267,0.853471,-0.675548,0.217264,0.091216,-0.692446,0.193313,0.033489,-0.747582,0.190849,-0.003117,-0.767632,0.216145,0.091899,-0.673422,0.125252,0.095065,-0.765152,0.123278,0.095556,,,
14,0.140000,0.022645,-0.051758,-0.011026,-0.998342,-0.720316,0.177760,0.067342,0.000576,-0.675204,0.217119,0.091215,0.905342,-0.692348,0.193254,0.033576,0.962071,-0.747559,0.190420,-0.003139,0.887725,-0.767449,0.216025,0.092302,0.887626,-0.673786,0.126798,0.094841,0.598974,-0.765548,0.122947,0.095257,0.854529,-0.675562,0.217240,0.091198,-0.692449,0.193325,0.033487,-0.747572,0.190868,-0.003113,-0.767627,0.216140,0.091906,-0.673447,0.125255,0.095119,-0.765123,0.123219,0.095546,,,
15,0.150000,0.022643,-0.051770,-0.011064,-0.998341,-0.720315,0.177767,0.067336,0.000569,-0.675205,0.217129,0.091208,0.906402,-0.692349,0.193263,0.033569,0.965821,-0.747561,0.190425,-0.003145,0.890241,-0.767450,0.216027,0.092297,0.886934,-0.673781,0.126807,0.094833,0.596753,-0.765542,0.122949,0.095251,0.856172,-0.675549,0.217276,0.091213,-0.692447,0.193314,0.033488,-0.747578,0.190863,-0.003116,-0.767638,0.216143,0.091903,-0.673426,0.125251,0.095061,-0.765131,0.123228,0.095541,,,
