Format Version,1.23,Take Name,mono2_3d_trial3,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-09-23 06.51.28.616 AM,Total Frames in Take,2442,Total Exported Frames,2442,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.002751,-0.006244,-0.000150,-0.999977,-0.871674,0.124134,-0.032223,0.000383,-0.828158,0.161469,-0.002784,0.932673,-0.840433,0.140259,-0.062660,0.911103,-0.892102,0.140145,-0.104309,0.914987,-0.920120,0.162504,-0.010100,0.951174,-0.828877,0.071067,-0.002716,0.783907,-0.920351,0.069363,-0.010768,0.933236,-0.828215,0.161717,-0.002709,-0.840435,0.140573,-0.062772,-0.892249,0.140354,-0.104599,-0.920158,0.162389,-0.010304,-0.828748,0.070222,-0.002433,-0.920232,0.069517,-0.010509
7,0.070000,0.002593,-0.006148,-0.000429,-0.999978,-0.871668,0.124116,-0.032225,0.000365,-0.828179,0.161465,-0.002766,0.932737,-0.840431,0.140267,-0.062651,0.921007,-0.892092,0.140138,-0.104309,0.904466,-0.920140,0.162452,-0.010098,0.947048,-0.828848,0.071063,-0.002727,0.785687,-0.920319,0.069310,-0.010796,0.933052,-0.828211,0.161726,-0.002706,-0.840439,0.140560,-0.062769,-0.892254,0.140359,-0.104576,-0.920158,0.162383,-0.010298,-0.828759,0.070269,-0.002415,-0.920185,0.069380,-0.010575
8,0.080000,0.002742,-0.006272,-0.000119,-0.999977,-0.871659,0.124138,-0.032223,0.000391,-0.828139,0.161469,-0.002786,0.935891,-0.840419,0.140261,-0.062662,0.917131,-0.892091,0.140151,-0.104308,0.903824,-0.920101,0.162510,-0.010097,0.935120,-0.828864,0.071067,-0.002720,0.771964,-0.920338,0.069369,-0.010766,0.912948,-0.828210,0.161703,-0.002708,-0.840442,0.140576,-0.062761,-0.892239,0.140363,-0.104593,-0.920126,0.162383,-0.010322,-0.828730,0.070210,-0.002437,-0.920199,0.069552,-0.010505
9,0.090000,0.002775,-0.006282,-0.000242,-0.999976,-0.871656,0.124123,-0.032214,0.000383,-0.828145,0.161467,-0.002780,0.935265,-0.840422,0.140252,-0.062655,0.910106,-0.892094,0.140127,-0.104299,0.905281,-0.920108,0.162485,-0.010089,0.944955,-0.828848,0.071065,-0.002708,0.775899,-0.920322,0.069344,-0.010752,0.918214,-0.828204,0.161709,-0.002706,-0.840436,0.140592,-0.062770,-0.892221,0.140320,-0.104599,-0.920139,0.162380,-0.010280,-0.828736,0.070220,-0.002431,-0.920198,0.069486,-0.010485
10,0.100000,0.002752,-0.006340,-0.000228,-0.999976,-0.871657,0.124140,-0.032207,0.000381,-0.828141,0.161482,-0.002777,0.937793,-0.840425,0.140270,-0.062651,0.915739,-0.892102,0.140148,-0.104289,0.901812,-0.920105,0.162503,-0.010075,0.942910,-0.828847,0.071080,-0.002709,0.778915,-0.920322,0.069361,-0.010743,0.916111,-0.828205,0.161713,-0.002709,-0.840439,0.140588,-0.062761,-0.892240,0.140365,-0.104586,-0.920139,0.162407,-0.010280,-0.828745,0.070248,-0.002425,-0.920171,0.069493,-0.010473
11,0.110000,0.002557,-0.006164,-0.000307,-0.999978,-0.871654,0.124130,-0.032231,0.000379,-0.828155,0.161467,-0.002771,0.933761,-0.840414,0.140276,-0.062657,0.915721,-0.892076,0.140162,-0.104314,0.909144,-0.920116,0.162476,-0.010101,0.945762,-0.828846,0.071064,-0.002738,0.769978,-0.920318,0.069335,-0.010805,0.927807,-0.828204,0.161719,-0.002707,-0.840436,0.140593,-0.062769,-0.892232,0.140359,-0.104577,-0.920136,0.162401,-0.010303,-0.828737,0.070206,-0.002426,-0.920172,0.069459,-0.010589
12,0.120000,0.002769,-0.006321,-0.000180,-0.999976,-0.871661,0.124141,-0.032214,0.000382,-0.828143,0.161480,-0.002783,0.933734,-0.840426,0.140267,-0.062657,0.918150,-0.892102,0.140148,-0.104297,0.906812,-0.920106,0.162509,-0.010085,0.941369,-0.828857,0.071078,-0.002712,0.773165,-0.920332,0.069368,-0.010749,0.918312,-0.828214,0.161727,-0.002719,-0.840442,0.140575,-0.062767,-0.892240,0.140360,-0.104571,-0.920134,0.162402,-0.010291,-0.828737,0.070225,-0.002425,-0.920193,0.069522,-0.010497
13,0.130000,0.002683,-0.006365,-0.000079,-0.999976,-0.871660,0.124148,-0.032217,0.000387,-0.828132,0.161472,-0.002784,0.933734,-0.840425,0.140272,-0.062660,0.918150,-0.892104,0.140171,-0.104296,0.906812,-0.920096,0.162521,-0.010077,0.941369,-0.828864,0.071070,-0.002728,0.773165,-0.920340,0.069380,-0.010758,0.918312,-0.828207,0.161714,-0.002716,-0.840436,0.140590,-0.062762,-0.892249,0.140380,-0.104583,-0.920118,0.162425,-0.010286,-0.828745,0.070211,-0.002442,-0.920201,0.069525,-0.010499
14,0.140000,0.002551,-0.006227,-0.000170,-0.999977,-0.871664,0.124129,-0.032238,0.000359,-0.828150,0.161454,-0.002782,0.934436,-0.840423,0.140267,-0.062668,0.916303,-0.892091,0.140168,-0.104318,0.903983,-0.920112,0.162488,-0.010101,0.942344,-0.828866,0.071051,-0.002751,0.771762,-0.920340,0.069347,-0.010806,0.918240,-0.828208,0.161643,-0.002755,-0.840435,0.140573,-0.062766,-0.892261,0.140393,-0.104574,-0.920142,0.162419,-0.010309,-0.828759,0.070272,-0.002418,-0.920174,0.069458,-0.010596
15,0.150000,0.002916,-0.006187,-0.000125,-0.999977,-0.871657,0.124144,-0.032218,0.000372,-0.828143,0.161487,-0.002787,0.949993,-0.840413,0.140257,-0.062657,0.919617,-0.892077,0.140132,-0.104312,0.904830,-0.920104,0.162524,-0.010113,0.944615,-0.828867,0.071085,-0.002689,0.786466,-0.920340,0.069382,-0.010751,0.927696,-0.828211,0.161717,-0.002709,-0.840441,0.140567,-0.062768,-0.892217,0.140332,-0.104602,-0.920118,0.162418,-0.010311,-0.828755,0.070285,-0.002411,-0.920200,0.069529,-0.010503
